id,type,X,Y,Z,u,v,w,nw,pw,mass,rho,energy,fx,fy,fz,sxx,syy,szz,sxy,sxz,syz,exx,eyy,ezz,exy,exz,eyz,nx,ny,nz,bc,young,poisson,phi,cohesion,psi,h_mod
43,1,0.05,4.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-9042.76,-15109.4,-9052.26,18.0207,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
44,1,0.05,4.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-7852.05,-13093,-7861.68,14.8775,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
45,1,0.05,4.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-6667.1,-11085.9,-6677.32,12.3654,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
46,1,0.05,4.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-5475.94,-9060.26,-5488.32,8.91426,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
47,1,0.05,4.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-4305.97,-7078.15,-4323.49,5.44411,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
48,1,0.05,4.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-3100.45,-5013.21,-3132.94,2.09474,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
49,1,0.05,4.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-1923.06,-3022.76,-2002.67,11.1998,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
50,1,0.05,4.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-539.925,-1126.6,-896.5,139.6,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
51,1,0.15,0.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53859.9,-99646.8,-53822.8,13.6239,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
52,1,0.15,0.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53275.5,-97707,-53237.5,9.34018,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
53,1,0.15,0.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52664.6,-95637.1,-52622.6,10.8537,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
54,1,0.15,0.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52050.2,-93659.3,-52015.5,11.57,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
55,1,0.15,0.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-51375.4,-91625,-51346.3,14.7115,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
56,1,0.15,0.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-50669.5,-89619.4,-50643.8,16.5482,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
57,1,0.15,0.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49907.4,-87599.7,-49884.1,18.8216,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
58,1,0.15,0.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49095.6,-85587.9,-49074.5,20.6534,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
59,1,0.15,0.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-48229.8,-83573,-48210.6,22.5158,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
60,1,0.15,0.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-47314.4,-81560.1,-47297,24.1681,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
61,1,0.15,1.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-46352.2,-79546.6,-46336.6,25.7024,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
62,1,0.15,1.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-45348.8,-77533.4,-45334.8,27.0856,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
63,1,0.15,1.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-44309.5,-75519.9,-44296.7,28.3269,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
64,1,0.15,1.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-43239.6,-73506.3,-43227.9,29.4083,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
